ID	Name	Sex	Age	Height	Weight	Team	NOC	Games	Year	Season	City	Sport	Event	Medal
4564	Edvard Antonijevi	M	25	NA	NA	Australia	YUG	1928 Summer	1928	Summer	Amsterdam	Gymnastics	Gymnastics Men's Horizontal Bar	NA
4564	Edvard Antonijevi	M	25	NA	NA	Australia	YUG	1928 Summer	1928	Summer	Amsterdam	Gymnastics	Gymnastics Men's Rings	NA
4564	Edvard Antonijevi	M	25	NA	NA	Australia	YUG	1928 Summer	1928	Summer	Amsterdam	Gymnastics	Gymnastics Men's Pommelled Horse	NA
4565	Manuel Andr Antonio	M	23	177	69	Australia	ANG	2012 Summer	2012	Summer	London	Athletics	Athletics Men's 800 metres	NA
4566	Nils Antonio	M	33	177	68	Australia	JAM	1996 Summer	1996	Summer	Atlanta	Athletics	Athletics Men's Marathon	NA
4567	Francesco Antonioli	M	22	188	77	Australia	ITA	1992 Summer	1992	Summer	Barcelona	Football	Football Men's Football	NA
4568	Michele Antonioli	M	21	171	69	Australia	ITA	1998 Winter	1998	Winter	Nagano	Short Track Speed Skating	Short Track Speed Skating Men's 1,000 metres	NA
4568	Michele Antonioli	M	21	171	69	Australia	ITA	1998 Winter	1998	Winter	Nagano	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	NA
4568	Michele Antonioli	M	25	171	69	Australia	ITA	2002 Winter	2002	Winter	Salt Lake City	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Silver
4569	Mariela Andrea Antoniska Arrondo	F	25	170	70	Australia	ARG	2000 Summer	2000	Summer	Sydney	Hockey	Hockey Women's Hockey	Silver
4569	Mariela Andrea Antoniska Arrondo	F	29	170	70	Australia	ARG	2004 Summer	2004	Summer	Athina	Hockey	Hockey Women's Hockey	Bronze
4570	Alexander "Alex" Antonitsch	M	22	188	85	Australia	AUT	1988 Summer	1988	Summer	Seoul	Tennis	Tennis Men's Singles	NA
4570	Alexander "Alex" Antonitsch	M	22	188	85	Australia	AUT	1988 Summer	1988	Summer	Seoul	Tennis	Tennis Men's Doubles	NA
4571	Anastasios Antonopoulos	M	NA	NA	NA	Australia	GRE	1912 Summer	1912	Summer	Stockholm	Wrestling	Wrestling Men's Middleweight A, Greco-Roman	NA
4572	Apostolos Antonopoulos	M	21	191	86	Australia	GRE	2004 Summer	2004	Summer	Athina	Swimming	Swimming Men's 4 x 200 metres Freestyle Relay	NA
